Purchasing Document,Purchasing Group,Purch. organization,Deletion indicator_x,Purchasing Doc. Type_x,Purch. Doc. Category,Material,Short Text,Order Quantity,Still to be delivered (qty),Document Date,Req. Tracking Number,Supplier/Supplying Plant,Net Price,Item,Item category,Acct Assignment Cat.,Plant,Material Group,Storage location,Order Unit,Tax Code,Quantity in SKU,Stockkeeping unit,Currency_x,Price unit,Target Quantity,Open Target Quantity,Still to be delivered (value),Still to be invoiced (qty),Still to be invoiced (val.),Open value,Name of Supplier,Order Price Unit,Net Order Value,Total open value,Incomplete,Item Category,Released value,Purchasing info rec.,Release Strategy,Delivery date,Company Code,Exchange Rate,Deletion indicator_y,Currency_y,Purchasing Doc. Type_y,INR_Net_Price,Total_Spend_INR,Open_Value_INR
4000000140,101,1100,L,ZCAP,F,,EMS Work Table,1.0,0.0,2022-07-21,,120003161  Mirai Enterprises,435000.0,10,9,K,1103,FURNITURE,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003161  Mirai Enterprises,AU,435000.0,0,,D,0,,,2022-07-21,1100,1.0,,INR,ZCAP,435000.0,435000.0,0.0
4000000140,101,1100,,ZCAP,F,,EMS Work Table,3.0,0.0,2022-08-29,,120003161  Mirai Enterprises,43500.0,20,0,K,1103,FURNITURE,,NOS,,0.0,,INR,1,0,0,0.0,2.0,87000.0,0,120003161  Mirai Enterprises,NOS,130500.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,43500.0,130500.0,0.0
4000000140,101,1100,,ZCAP,F,,EMS Work Table,4.0,0.0,2022-08-29,,120003161  Mirai Enterprises,43500.0,30,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003161  Mirai Enterprises,NOS,174000.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000140,101,1100,,ZCAP,F,,EMS Work Table,5.0,0.0,2022-09-03,,120003161  Mirai Enterprises,43500.0,40,0,K,1103,FURNITURE,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003161  Mirai Enterprises,NOS,217500.0,0,,,0,,,2022-09-03,1100,1.0,,INR,ZCAP,43500.0,217500.0,0.0
4000000140,101,1100,,ZCAP,F,,EMS work table,3.0,0.0,2022-10-13,,120003161  Mirai Enterprises,43500.0,50,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003161  Mirai Enterprises,NOS,130500.0,0,,,0,,,2022-10-13,1100,1.0,,INR,ZCAP,43500.0,130500.0,0.0
4000000140,101,1100,,ZCAP,F,,EMS work table,3.0,0.0,2022-10-17,,120003161  Mirai Enterprises,43500.0,60,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003161  Mirai Enterprises,NOS,130500.0,0,,,0,,,2022-10-17,1100,1.0,,INR,ZCAP,43500.0,130500.0,0.0
4000000140,101,1100,,ZCAP,F,,EMS work table,4.0,0.0,2023-01-25,,120003161  Mirai Enterprises,43500.0,70,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003161  Mirai Enterprises,NOS,174000.0,0,,,0,,,2023-01-25,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000141,101,1100,,ZCAP,F,,EMS Work Table,1.0,0.0,2022-07-21,,120003336  INTECH  MARKETING,304500.0,10,9,K,1103,FURNITURE,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,304500.0,0,,D,0,,,2022-07-21,1100,1.0,,,ZCAP,304500.0,304500.0,0.0
4000000200,101,1100,,ZCAP,F,,"Fully automatic cable cutting, stripping",1.0,0.0,2022-08-08,,120000866  Sai Paradise Machine Tools (I) Pvt,302250.0,10,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120000866  Sai Paradise Machine Too,AU,302250.0,0,,D,0,,,2022-08-08,1100,1.0,,,ZCAP,302250.0,302250.0,0.0
4000000200,101,1100,,ZCAP,F,,2 Ton gear transmission crimping machine,1.0,0.0,2022-08-08,,120000866  Sai Paradise Machine Tools (I) Pvt,297600.0,20,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120000866  Sai Paradise Machine Too,AU,297600.0,0,,D,0,,,2022-08-08,1100,1.0,,,ZCAP,297600.0,297600.0,0.0
4000000200,101,1100,,ZCAP,F,,Manual operated pushpull load testerdigi,1.0,0.0,2022-08-08,,120000866  Sai Paradise Machine Tools (I) Pvt,46500.0,30,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120000866  Sai Paradise Machine Too,AU,46500.0,0,,D,0,,,2022-08-08,1100,1.0,,,ZCAP,46500.0,46500.0,0.0
4000000213,101,1100,L,ZCAP,F,,40*40* Aluminium profile,1.0,0.0,2022-08-09,,120003336  INTECH  MARKETING,57600.0,10,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,57600.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,57600.0,57600.0,0.0
4000000213,101,1100,L,ZCAP,F,,40*40* L Bracket,1.0,0.0,2022-08-09,,120003336  INTECH  MARKETING,8000.0,20,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,8000.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,8000.0,8000.0,0.0
4000000213,101,1100,L,ZCAP,F,,T Nut M8 & M8*16 Allen Screw,1.0,0.0,2022-08-09,,120003336  INTECH  MARKETING,9000.0,30,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,9000.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,9000.0,9000.0,0.0
4000000213,101,1100,L,ZCAP,F,,40X40 Aluminium Profile End Cap,1.0,0.0,2022-08-09,,120003336  INTECH  MARKETING,600.0,40,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,600.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,600.0,600.0,0.0
4000000213,101,1100,L,ZCAP,F,,40 Beading(std length 3 mtr),1.0,0.0,2022-08-09,,120003336  INTECH  MARKETING,6000.0,50,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,6000.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,6000.0,6000.0,0.0
4000000213,101,1100,L,ZCAP,F,,Deltrin Roller(model R-6016)4 mtr length,1.0,0.0,2022-08-09,,120003336  INTECH  MARKETING,19800.0,60,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,19800.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,19800.0,19800.0,0.0
4000000213,101,1100,,ZCAP,F,,40*40* Aluminium profile,120.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,480.0,70,0,K,1103,PLANT,,M,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,M,57600.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,480.0,57600.0,0.0
4000000213,101,1100,,ZCAP,F,,40*40* L Bracket,200.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,40.0,80,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,8000.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,40.0,8000.0,0.0
4000000213,101,1100,,ZCAP,F,,T Nut M8 & M8*16 Allen Screw,500.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,18.0,90,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,9000.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,18.0,9000.0,0.0
4000000213,101,1100,,ZCAP,F,,40X40 Aluminium Profile End Cap,40.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,15.0,100,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,600.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,15.0,600.0,0.0
4000000213,101,1100,,ZCAP,F,,40 Beading(std length 3 mtr),300.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,20.0,110,0,K,1103,PLANT,,M,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,M,6000.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,20.0,6000.0,0.0
4000000213,101,1100,,ZCAP,F,,Deltrin Roller(model R-6016)4 mtr length,72.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,275.0,120,0,K,1103,PLANT,,M,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,M,19800.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,275.0,19800.0,0.0
4000000214,101,1100,L,ZCAP,F,,Potting arm setup(Robo soldering),1.0,0.0,2022-08-09,,120000079  Micro Machine Tools,14500.0,10,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120000079  Micro Machine Tools,AU,14500.0,0,,D,0,,,2022-08-09,1100,1.0,,INR,ZCAP,14500.0,14500.0,0.0
4000000222,101,1100,L,ZCAP,F,,EMSwork table,1.0,0.0,2022-08-11,,120003336  INTECH  MARKETING,1740000.0,10,9,K,1103,PLANT,,AU,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,AU,1740000.0,0,,D,0,,,2022-08-11,1100,1.0,,INR,ZCAP,1740000.0,1740000.0,0.0
4000000222,101,1100,,ZCAP,F,,EMSwork table,4.0,0.0,2022-08-29,,120003336  INTECH  MARKETING,43500.0,20,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,174000.0,0,,,0,,,2022-08-29,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000222,101,1100,,ZCAP,F,,EMSwork table,4.0,0.0,2022-09-01,,120003336  INTECH  MARKETING,43500.0,30,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,174000.0,0,,,0,,,2022-09-01,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000222,101,1100,,ZCAP,F,,EMSwork table,4.0,0.0,2022-09-01,,120003336  INTECH  MARKETING,43500.0,40,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,174000.0,0,,,0,,,2022-09-01,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000222,101,1100,,ZCAP,F,,EMSwork table,4.0,0.0,2022-09-01,,120003336  INTECH  MARKETING,43500.0,50,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,174000.0,0,,,0,,,2022-09-01,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000222,101,1100,,ZCAP,F,,EMSwork table,4.0,0.0,2022-10-31,,120003336  INTECH  MARKETING,43500.0,60,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,174000.0,0,,,0,,,2022-09-01,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
4000000222,101,1100,,ZCAP,F,,EMSwork table,4.0,0.0,2022-10-31,,120003336  INTECH  MARKETING,43500.0,70,0,K,1103,PLANT,,NOS,,0.0,,INR,1,0,0,0.0,0.0,0.0,0,120003336  INTECH  MARKETING,NOS,174000.0,0,,,0,,,2022-10-31,1100,1.0,,INR,ZCAP,43500.0,174000.0,0.0
